Ticket id,Interaction id,Interaction date,Mailbox,x_ts,x_ic,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4
24496,68891,,support.eu@Company.com,cancellation of the subscription,bonjour auriez vous la possibilit de silier abonnement cause je ai plus le portable merci cordialement envoy de mon iphonei have been looking for phone to call me for while and have been trying to find way to get it sent from my iphone,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Other,
24496,69316,,support.eu@Company.com,undelivered mail returned to sender,this is the mail system at host frasgout his company com m sorry to have to inform you that your message could not be delivered to one or more recipients it attached below for further assistance please send mail to postmaster if you do so please include this problem report you can delete your own text from the attached returned message the mail system host alt gmail smtp in google com said the email account that you tried to reach is over quota please direct the recipient to https support google com mail overquotatemp a ef df si edx gsmtp in reply to rcpt to command,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Others,,
24470,68803,,support.eu@Company.com,,with the previous keys it was the same i just didn record the next what wanted to take was the same add that did according to the rules every hours did orders yet it didn get in shorter time because it didn count only clicks every hours and between each attempt to take it was also over time of difference not only have such problem and contact with the company nothing helped so how to pick up on tablet or headset as the action lasts until and we have little more than points add that every change of the application was done so it didn get more points to pick up,In-App Purchase / Suggestions &amp; Feedback,In-App Purchase ,Others,,
23416,65532,,support.eu@Company.com,dismissed,strongly ask you to block the subscription thanks,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23389,65457,,support.eu@Company.com,,please cancel registration,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23269,65153,,support.eu@Company.com,withdrawal of spending,don want this expenditure anymore send by my phone,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23219,65004,,support.eu@Company.com,issue,why did get an email with payment for you when didn really do anything,In-App Purchase / Unauthorised charges- bank account,In-App Purchase ,Suggestion,Payment,Query deduction details
23040,64501,44805.78125,support.eu@Company.com,company support issue submit,product cloud requests upgrade cloud storage contact full name pavol hete phone numbe contact email address company id account sum of the issue pay for something that don use cancel account and fee for it homeibh newsibh eventsibh productsibh partnersibh support copyright company se,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23040,64514,44805.79583,support.eu@Company.com,company support issue submit,we hope you re doing well this email is regarding your concern about the unknown charge on your account ll be more than happy to assist you with your inquiry in this email will provide you with the necessary steps if you run into any issues while following the steps please keep reading as you will also find below the information we require from you to be able to investigate if you don provide us the necessary information we not be able to help you further the charges you received are likely to be related to company service or subscription you have signed up for if you would like to cancel your subscription please follow the guideline below at the moment we do not have the necessary permission to cancel subscriptions on behalf of our users but will gladly walk you through the process on how to cancel it if you still have company phone you can access cancel all your subscriptions by following these steps settings account center payments purchases subscriptions choose the subscription you want to cancel and tap cancel subscription once the subscription has been canceled your account will not be charged from the next month onwards if you don have company phone anymore you can manage all your subscriptions on our online portal following these steps go to https id cloud company com cas portal login html log in account center payment and purchases subscriptions password free payments and click remove if you will access our online portal through your phone browser please enable first the desktop site so you will be able to see the payment and purchases window if for any reason you need further assistance with your inquiry please send us the following information you company id phone number include country code email address your request eg cancel company cloud subscription cancel company music subscriptions cancel company video subscriptions proof of transactions if the payment was made with your bank card copy of your bank statement showing the charges from se and the last digits of your bank card if the payment was made with your paypal a screenshot of payment with transaction invoice number available if the payment was made with your phone the phone number get charged screenshot of phone bill showing the charges from se we hope this information is useful and it solves your issue for further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin se is the provider of company mobile services to company and honor device owners in to support issue submit product cloud requests upgrade cloud storage contact full name hete phone numbe contact email address company id account sum of the issue plat za nie o nevyu vam zru et poplatok za akujem home news events products partners support copyright se,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Query deduction details
23039,64496,44805.77222,support.eu@Company.com,canceled,as do not use this service and no longer an owner of company phone would like to cancel my membership sent from samsung mobile on get outlook for android,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23039,64500,44805.77778,support.eu@Company.com,cancel,this email is regarding your concern about the unknown charges ll be more than happy to assist you with your inquiry and will do my absolute best to help the charges you received are likely to be related to company service or subscription you have signed up for judging by the price this is likely company cloud subscription if you would like to cancel your subscription please follow the guideline below from your computer access the official website login to https id cloud company com cas portal login html and go to payment and purchases subscriptions password free payments and touch remove please be aware that if you access the online portal with your phone you should first activate the desktop version of the browser if the subscription disappears from your account it indicates that it has been canceled successfully once canceled no deduction will be made from your account from the following month onward if you need further assistance please provide us the following information to investigate your account and provide more information around the subscription your company id phone number include country code email address your request g cancel company cloud subscription cancel company music subscription cancel company video subscription proof of transactions if the payment was made with your bank card copy of your bank statement showing the charges from company se and the last digits of your bank card if the payment was made with your paypal screenshot of payment with transaction invoice number available if the payment was made with your phone the phone number get charged screenshot of phone bill showing the charges from company se if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to cancel as do not use this service and no longer an owner of company phone would like to cance my membership sent from samsung mobile on get outlook for android,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Query deduction details
23037,64492,44805.75556,support.eu@Company.com,company id subscription,have company id account want to terminate this account and the subscription today euros have been deposited from my bank account unfortunately find this subscription not in my company id account be you can help me terminate the charging process so that can delete my company account ask for notification with friendly greetings xxxxx xx com,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23037,64497,44805.77361,support.eu@Company.com,company id subscription,if you are interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this you will be interested in this,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23035,64490,44805.75833,support.eu@Company.com,company support issue submit,for reaching us this email is in regards to your problem regarding making an in app purchase please follow these steps go to phone settings account centre payment and purchases purchase history and check if this payment is listed in the purchase history or not then please send us the following information so that we can proceed with an investigation whether the payment is listed or not in the purchase history send us your company id your company id can be found by going to phone settings account centre your company id will be at the top of the screen right below your profile picture the date you tried to make the purchase the error message that pops up screenshot or screen recording of the payment issue if possible details of the items you attempted to purchase your device model to check this go to phone settings about phone model your company id version to check this go to phone settings account centre settings about order number to learn more about company in app purchases please refer to this link https company com en supporthome companyappgallery appgallery html for further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to company support issue submit product appgallery games requests refund request app item purchased not working as expected contact full name ferracin contact email address sum of the issue sto provando ad effettuare un acquisto su un app playrix con poste pay che non risulta essere ne bloccata ne scaduta ho fatto altri acquisti su questa app ma stavolta proprio non mi fa fare niente home news events products partners support copyright company se,In-App Purchase / Unable to make In-App Purchases,In-App Purchase ,Suggestion,Invoice,Invoice related request
23028,64462,44805.7,support.eu@Company.com,vip privileges,hi about orde konstantinou you sent payment of eur to company se transaction id mw invoice id c f transaction date gmt merchant company se it is about id because of email account had hacked now it has change if you can update my account to vip again will be obliged to you,In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64471,44805.72847,support.eu@Company.com,tagged: vip privileges,ask you to clarify your request so that we can give you the best possible solution am able to understand that payment was made from your account but it is not clear yet to me what is your request towards it for your understanding sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to vip privilege hi about orde konstantinou you sent payment of eur to company se transaction id mw invoice id c f transaction date gmt merchant company se it is about id because of email account had hacked now it has change if you can update my account to vip again will be obliged to you,In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Payment,Query deduction details
23028,64477,44805.73611,support.eu@Company.com,vip privileges,sorry for the bad english really trying to explaing to you after attack in my account made hard reset to my company pro and lost the previus account am logging now with another email account to my phone gspace does automatic login according to the phone id no with new id am not vip hope to help you i ask you to clarify your request so that we can give you the best possible solution am able to understand that payment was made from your account but it is not clear yet to me what is your request towards it for your understanding sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to vip privilege hi about orde konstantinou you sent payment of eur to company se transaction id mw invoice id c f transaction date gmt merchant company se it is about id because of email account had hacked now it has change if you can update my account to vip again will be obliged to you,In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64478,44805.73889,support.eu@Company.com,tagged: vip privileges,we have received your support request one of our experts will contact you as soon as possible we will contact you via the contact email you provided as soon as we receive updates if you have any further questions please do not hesitate to contact us sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to vip privilege sorry for the bad english really trying to explaing to you after attack in my account made hard reset to my company pro and lost the previus account am logging now with another email account to my phone gspace does automatic login according to the phone id no with new id am not vip hope to help you i ask you to clarify your request so that we can give you the best possible solution am able to understand that payment was made from your account but it is not clear yet to me what is your request towards it for your understanding sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to vip privilege hi about orde konstantinou you sent payment of eur to company se transaction id mw invoice id c f transaction date gmt merchant company se it is about id because of email account had hacked now it has change if you can update my account to vip again will be obliged to you,In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64481,44805.73819,support.eu@Company.com,vip privileges,now my new id is don remember the old tasos koronis sorry for the bad english really trying to explaing to you after attack in my account made hard reset to my company pro and lost the previus account am logging now with another email account to my phone gspace does automatic login according to the phone id no with new id am not vip hope to help you i ask you to clarify your request so that we can give you the best possible solution am able to understand that payment was made from your account but it is not clear yet to me what is your request towards it for your understanding sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to vip privilege hi about orde konstantinou you sent payment of eur to company se transaction id mw invoice id c f transaction date gmt merchant company se it is about id because of email account had hacked now it has change if you can update my account to vip again will be obliged to you,In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64487,44805.75208,support.eu@Company.com,vip privileges,for support and am very happy to provide you any other information you need for identification we have received your support request one of our experts will contact you as soon as possible we will contact you via the contact email you provided as soon as we receive updates if you have any further questions please do not hesitate to contact us sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to vip privilege sorry for the bad english really trying to explaing to you after attack in my account made hard reset to my company pro and lost the previus account am logging now with another email account to my phone gspace does automatic login according to the phone id no with new id am not vip hope to help you i ask you to clarify your request so that we can give you the best possible solution am able to understand that payment was made from your account but it is not clear yet to me what is your request towards it for your understanding sincerely madalin company company company se is the provider of company mobile services to company and honor device owners in to vip privilege hi about orde konstantinou you sent payment of eur to company se transaction id mw invoice id c f transaction date gmt merchant company se it is about id because of email account had hacked now it has change if you can update my account to vip again will be obliged to you,In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23027,64459,44805.69653,support.de@Company.com,required account,there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so there is no such thing as to be able to do so,In-App Purchase / Invoice request,In-App Purchase ,Suggestion,Invoice,Invoice related request
23027,64472,44805.72917,support.de@Company.com,required account,for example if you do not have the right to do so you will have the right to do so if you do not have the right to do so you will have the right to do so if you do not have the right to do so you will have the right to do so if you do not have the right to do so you will have the right to do so if you do not have the right to do so you will have the right to do so if you do not have the right to do so you will have the right to do so,In-App Purchase / Invoice request,In-App Purchase ,Suggestion,Invoice,Invoice related request
23020,64423,44805.64653,support.eu@Company.com,money being taken,want this cancelled thankyou get outlook for android,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23019,64422,44805.64444,support.eu@Company.com,thought i was doing a quiz then realised it was going to take monthly money which i've just cancelled thankyou mrs susan pugh 16 hillrise avenue ryde isle of wight po333tt,don know what this payment is for so can you cancel it for me thanks sue hillrise avenue ryde isle of wight po tt get outlook for android,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
